,teamName,opponent,game,gameId,gameDate,pointsScored,pointsAllowed,outcome,callsReceived,errorsInFavor,posessionsInFavor
0,76ers,Nuggets,76ers vs Nuggets,0022200741,"January 28, 2023",126,119,WON,1,1,0
1,Nuggets,76ers,Nuggets @ 76ers,0022200741,"January 28, 2023",119,126,LOSS,0,0,0
2,Pistons,Rockets,Pistons vs Rockets,0022200743,"January 28, 2023",114,117,LOSS,4,0,0
3,Rockets,Pistons,Rockets @ Pistons,0022200743,"January 28, 2023",117,114,WON,0,0,0
4,Spurs,Suns,Spurs vs Suns,0022200748,"January 28, 2023",118,128,LOSS,1,0,0
5,Suns,Spurs,Suns @ Spurs,0022200748,"January 28, 2023",128,118,WON,0,1,0
6,Celtics,Lakers,Celtics vs Lakers,0022200749,"January 28, 2023",125,121,WON,3,1,0
7,Lakers,Celtics,Lakers @ Celtics,0022200749,"January 28, 2023",121,125,LOSS,0,2,0
8,Heat,Magic,Heat vs Magic,0022200738,"January 27, 2023",110,105,WON,1,1,0
9,Magic,Heat,Magic @ Heat,0022200738,"January 27, 2023",105,110,LOSS,0,1,0
10,Celtics,Knicks,Celtics vs Knicks,0022200730,"January 26, 2023",117,120,LOSS,4,2,0
11,Knicks,Celtics,Knicks @ Celtics,0022200730,"January 26, 2023",120,117,WON,1,1,0
12,Suns,Mavericks,Suns vs Mavericks,0022200734,"January 26, 2023",95,99,LOSS,3,1,0
13,Mavericks,Suns,Mavericks @ Suns,0022200734,"January 26, 2023",99,95,WON,1,1,0
14,76ers,Nets,76ers vs Nets,0022200721,"January 25, 2023",137,133,WON,0,1,0
15,Nets,76ers,Nets @ 76ers,0022200721,"January 25, 2023",133,137,LOSS,0,1,0
16,Thunder,Hawks,Thunder vs Hawks,0022200725,"January 25, 2023",132,137,LOSS,2,0,0
17,Hawks,Thunder,Hawks @ Thunder,0022200725,"January 25, 2023",137,132,WON,0,0,0
18,Warriors,Grizzlies,Warriors vs Grizzlies,0022200726,"January 25, 2023",122,120,WON,4,1,0
19,Grizzlies,Warriors,Grizzlies @ Warriors,0022200726,"January 25, 2023",120,122,LOSS,0,0,0
20,Pacers,Bulls,Pacers vs Bulls,0022200713,"January 24, 2023",116,110,WON,0,1,0
21,Bulls,Pacers,Bulls @ Pacers,0022200713,"January 24, 2023",110,116,LOSS,0,0,0
22,Heat,Celtics,Heat vs Celtics,0022200714,"January 24, 2023",98,95,WON,0,0,0
23,Celtics,Heat,Celtics @ Heat,0022200714,"January 24, 2023",95,98,LOSS,0,0,0
24,Knicks,Cavaliers,Knicks vs Cavaliers,0022200715,"January 24, 2023",105,103,WON,2,2,0
25,Cavaliers,Knicks,Cavaliers @ Knicks,0022200715,"January 24, 2023",103,105,LOSS,0,1,0
26,Pelicans,Nuggets,Pelicans vs Nuggets,0022200716,"January 24, 2023",98,99,LOSS,0,2,0
27,Nuggets,Pelicans,Nuggets @ Pelicans,0022200716,"January 24, 2023",99,98,WON,0,0,0
28,Mavericks,Wizards,Mavericks vs Wizards,0022200717,"January 24, 2023",126,127,LOSS,2,0,0
29,Wizards,Mavericks,Wizards @ Mavericks,0022200717,"January 24, 2023",127,126,WON,0,1,0
30,Rockets,Timberwolves,Rockets vs Timberwolves,0022200709,"January 23, 2023",119,114,WON,4,1,0
31,Timberwolves,Rockets,Timberwolves @ Rockets,0022200709,"January 23, 2023",114,119,LOSS,0,0,0
32,Heat,Pelicans,Heat vs Pelicans,0022200699,"January 22, 2023",100,96,WON,0,0,0
33,Pelicans,Heat,Pelicans @ Heat,0022200699,"January 22, 2023",96,100,LOSS,0,0,0
34,Nuggets,Thunder,Nuggets vs Thunder,0022200702,"January 22, 2023",99,101,LOSS,1,1,0
35,Thunder,Nuggets,Thunder @ Nuggets,0022200702,"January 22, 2023",101,99,WON,0,3,0
36,Suns,Grizzlies,Suns vs Grizzlies,0022200703,"January 22, 2023",112,110,WON,3,0,0
37,Grizzlies,Suns,Grizzlies @ Suns,0022200703,"January 22, 2023",110,112,LOSS,0,0,0
38,Warriors,Nets,Warriors vs Nets,0022200704,"January 22, 2023",116,120,LOSS,2,0,0
39,Nets,Warriors,Nets @ Warriors,0022200704,"January 22, 2023",120,116,WON,0,0,0
40,Raptors,Celtics,Raptors vs Celtics,0022200692,"January 21, 2023",104,106,LOSS,0,2,0
41,Celtics,Raptors,Celtics @ Raptors,0022200692,"January 21, 2023",106,104,WON,0,0,0
42,Hawks,Hornets,Hawks vs Hornets,0022200694,"January 21, 2023",118,122,LOSS,3,1,0
43,Hornets,Hawks,Hornets @ Hawks,0022200694,"January 21, 2023",122,118,WON,0,1,0
44,Suns,Pacers,Suns vs Pacers,0022200697,"January 21, 2023",112,107,WON,3,0,0
45,Pacers,Suns,Pacers @ Suns,0022200697,"January 21, 2023",107,112,LOSS,0,1,0
46,Kings,76ers,Kings vs 76ers,0022200698,"January 21, 2023",127,129,LOSS,3,2,0
47,76ers,Kings,76ers @ Kings,0022200698,"January 21, 2023",129,127,WON,0,0,0
48,Jazz,Nets,Jazz vs Nets,0022200689,"January 20, 2023",106,117,LOSS,4,0,0
49,Nets,Jazz,Nets @ Jazz,0022200689,"January 20, 2023",117,106,WON,0,2,0
50,Lakers,Grizzlies,Lakers vs Grizzlies,0022200690,"January 20, 2023",122,121,WON,3,1,0
51,Grizzlies,Lakers,Grizzlies @ Lakers,0022200690,"January 20, 2023",121,122,LOSS,0,0,0
52,Kings,Thunder,Kings vs Thunder,0022200691,"January 20, 2023",118,113,WON,1,0,0
53,Thunder,Kings,Thunder @ Kings,0022200691,"January 20, 2023",113,118,LOSS,0,3,0
54,Celtics,Warriors,Celtics vs Warriors,0022200679,"January 19, 2023",121,118,WON,3,5,0
55,Warriors,Celtics,Warriors @ Celtics,0022200679,"January 19, 2023",118,121,LOSS,0,0,0
56,Timberwolves,Raptors,Timberwolves vs Raptors,0022200680,"January 19, 2023",128,126,WON,1,1,0
57,Raptors,Timberwolves,Raptors @ Timberwolves,0022200680,"January 19, 2023",126,128,LOSS,0,0,0
